id,tipo
7659,Inbound
7660,Inbound
7661,Inbound
7670,Inbound
7671,Inbound
7672,ReCompra
7675,Inbound
7676,Inbound
7697,Inbound
7699,Inbound
7700,Inbound
7701,Inbound
7702,Inbound
7703,Inbound
7708,Inbound
7711,ReCompra
7712,ReCompra
7713,Inbound
7714,Inbound
7715,Inbound
7716,Inbound
7717,Inbound
7718,Inbound
7722,ReCompra
7723,Inbound
7725,Inbound
7726,Inbound
7730,ReCompra
7731,Inbound
7738,Inbound
7742,Inbound
7743,Inbound
7744,Inbound
7747,Inbound
7748,Inbound
7749,Inbound
7750,Inbound
7751,Inbound
7752,Inbound
7755,Inbound
7759,ReCompra
7761,Inbound
7762,Inbound
7768,Inbound
7769,ReCompra
7770,Inbound
7771,ReCompra
7772,ReCompra
7773,Inbound
7774,ReCompra
7775,ReCompra
7776,Inbound
7777,Inbound
7778,Inbound
7779,Inbound
7780,ReCompra
7781,Inbound
7782,Inbound
7783,Inbound
7784,Inbound
7785,Inbound
7786,Inbound
7787,Inbound
7788,ReCompra
7789,ReCompra
7792,Inbound
7793,Inbound
7794,Inbound
7795,Inbound
7798,Inbound
7811,ReCompra
7812,Inbound
7822,Inbound
7823,Inbound
7833,Inbound
7838,ReCompra
7839,ReCompra
7844,Inbound
7845,Inbound
7847,Inbound
7851,Inbound
7852,Inbound
7854,Inbound
7855,Inbound
7864,Inbound
7865,Inbound
7870,Inbound
7874,Inbound
7875,Inbound
7876,Inbound
7880,Inbound
7881,Inbound
7883,Inbound
7884,Inbound
7885,Inbound
7886,Inbound
7887,Inbound
7891,Inbound
7892,Inbound
7893,Inbound
7894,Inbound
7895,Inbound
7896,Inbound
7897,ReCompra
7904,Inbound
7905,Inbound
7909,Inbound
7910,Inbound
7912,Inbound
7913,Inbound
7915,Inbound
7922,Inbound
7923,Inbound
7927,Inbound
7928,Inbound
7929,Inbound
7935,Inbound
7945,Inbound
7946,Inbound
7951,Inbound
7952,Inbound
7953,Inbound
7954,Inbound
7965,Inbound
7968,Inbound
7969,Inbound
7970,Inbound
7971,Inbound
7972,Inbound
7978,Inbound
7979,Inbound
7980,Inbound
7981,Inbound
7983,Inbound
7987,Inbound
7988,Inbound
7993,Inbound
8002,Inbound
8003,Inbound
8010,Inbound
8017,Inbound
8018,Inbound
8020,Inbound
8022,Inbound
8024,Inbound
8025,Inbound
8026,Inbound
8027,Inbound
8029,Inbound
8030,Inbound
8031,Inbound
8033,Outbound
8034,Inbound
8035,Inbound
8036,Inbound
8040,Inbound
8041,Inbound
8042,Inbound
8043,Inbound
8044,Inbound
8045,Inbound
8047,Inbound
8052,Inbound
8053,Inbound
8054,Inbound
8055,Inbound
8057,Inbound
8061,Inbound
8065,Inbound
8066,Inbound
8068,Inbound
8069,Inbound
8070,Inbound
8076,Inbound
8077,Inbound
8078,Inbound
8079,Inbound
8080,Inbound
8081,Inbound
8090,Inbound
8092,Inbound
8096,Inbound
8097,Inbound
8098,Inbound
8099,Inbound
8100,Inbound
8101,Inbound
8102,Inbound
8106,Inbound
8107,Inbound
8110,Inbound
8116,Inbound
8117,Inbound
8118,Inbound
8122,Inbound
8123,Inbound
8124,Inbound
8125,Inbound
8126,Inbound
8127,Inbound
8128,Inbound
8133,Inbound
8134,Inbound
8137,Inbound
8138,Inbound
8139,Inbound
8142,Inbound
8143,Inbound
8144,Inbound
8147,Inbound
8149,Inbound
8150,Inbound
8151,Inbound
8154,Inbound
8155,Inbound
8170,Inbound
8171,Inbound
8172,Inbound
8173,Inbound
8179,Inbound
8181,Inbound
8184,Inbound
8185,Inbound
8186,Inbound
8187,Inbound
8188,Inbound
8189,Inbound
8192,Inbound
8194,Inbound
8199,Inbound
8200,Inbound
8202,Inbound
8203,Inbound
8208,Inbound
8209,Inbound
8210,Inbound
8211,Inbound
8212,Inbound
8223,Inbound
8224,Inbound
8225,Inbound
